x,y,is_header,under_pressure,num_defenders,num_teammates,gk_x,gk_y,on_target,placement_y,placement_z,is_goal
96.5,40.7,0,1,10,8,118.5,39.1,0,40.0,0.0,0
83.9,45.0,0,1,5,2,96.0,39.2,1,43.3,1.4,1
86.8,38.4,0,1,10,9,119.0,41.3,0,40.0,0.0,0
107.0,48.3,0,1,9,7,118.9,42.0,0,40.0,0.0,0
113.3,34.9,0,1,6,2,116.4,37.6,0,40.0,0.0,0
97.5,54.0,0,1,7,4,118.5,42.6,0,40.0,0.0,0
107.6,53.2,0,1,3,0,117.0,43.7,1,42.6,0.2,1
107.9,34.2,0,1,7,4,118.1,37.9,0,40.0,0.0,0
106.8,46.7,0,1,9,4,119.0,42.1,0,40.0,0.0,0
105.1,41.2,0,1,5,4,117.9,41.5,0,40.0,0.0,0
112.2,37.7,1,1,10,6,116.7,38.8,1,39.4,2.8,0
118.8,41.6,1,1,8,5,120.0,39.3,0,40.0,0.0,0
115.4,29.4,0,1,10,5,115.8,38.8,0,40.0,0.0,0
101.1,55.3,0,1,9,5,117.7,41.9,1,41.9,0.2,0
113.4,49.1,0,1,9,5,117.6,43.8,0,40.0,0.0,0
110.5,40.7,1,1,10,6,119.0,39.8,1,36.8,2.8,0
112.0,38.0,1,1,8,5,117.0,38.7,1,43.0,1.9,1
104.1,38.5,0,1,10,7,117.8,39.9,1,40.9,2.5,1
111.0,42.8,0,1,6,2,118.1,41.7,1,43.2,0.7,1
106.4,48.8,0,1,6,3,117.9,42.4,0,40.0,0.0,0
93.9,27.7,0,1,10,8,119.1,40.3,0,40.0,0.0,0
97.9,25.1,0,1,8,4,116.7,37.8,0,40.0,0.0,0
83.8,35.5,0,1,9,6,117.6,39.8,0,40.0,0.0,0
105.3,46.3,0,1,7,4,116.0,42.3,1,37.3,0.2,1
109.7,48.0,0,1,9,5,116.7,43.8,1,41.3,2.2,1
103.5,32.3,0,1,8,5,117.4,37.7,0,40.0,0.0,0
97.8,34.8,0,1,8,5,118.2,39.0,0,40.0,0.0,0
109.7,47.7,0,1,6,3,115.3,44.4,1,38.8,0.2,1
105.1,54.6,0,1,2,0,114.2,45.4,0,40.0,0.0,0
108.6,50.7,0,1,8,5,117.6,43.6,0,40.0,0.0,0
112.0,39.9,0,1,3,2,114.9,49.0,1,42.7,0.2,1
110.9,30.5,0,1,3,1,115.6,35.4,1,34.9,1.6,0
108.0,40.0,0,1,0,0,119.0,40.0,1,42.3,0.3,1
102.9,23.8,0,1,8,6,118.6,37.2,0,40.0,0.0,0
105.3,27.8,0,1,9,7,118.8,38.0,0,40.0,0.0,0
117.0,29.2,0,1,7,6,119.0,35.2,0,40.0,0.0,0
105.2,33.9,0,1,6,2,117.1,39.5,0,40.0,0.0,0
92.7,34.9,0,1,9,7,119.2,39.6,0,40.0,0.0,0
99.8,36.6,0,1,9,7,118.4,39.2,0,40.0,0.0,0
112.2,42.5,1,1,8,4,119.0,40.5,0,40.0,0.0,0
116.9,49.2,0,1,9,4,119.0,44.1,0,40.0,0.0,0
94.9,25.7,0,1,10,8,118.7,38.4,0,40.0,0.0,0
108.5,38.0,1,1,8,6,119.2,39.8,0,40.0,0.0,0
103.1,51.5,0,1,9,6,118.3,42.2,0,40.0,0.0,0
100.9,28.3,0,1,10,8,119.0,38.1,0,40.0,0.0,0
117.5,34.2,1,1,10,8,119.5,37.0,1,36.7,0.9,0
103.9,29.2,0,1,9,5,118.0,38.2,1,37.8,2.2,0
94.7,35.3,0,1,10,8,118.8,39.8,0,40.0,0.0,0
100.9,32.5,0,1,8,6,118.9,38.1,0,40.0,0.0,0
100.6,37.7,0,1,9,5,118.8,39.7,1,38.6,0.2,0
105.6,52.9,0,1,8,6,118.9,42.5,1,41.7,0.4,0
112.8,36.3,0,1,6,2,115.4,36.8,0,40.0,0.0,0
110.7,45.1,0,1,6,4,115.3,42.2,1,44.1,1.2,0
113.1,42.1,1,1,7,4,113.4,36.1,0,40.0,0.0,0
106.7,39.0,0,1,8,6,118.9,40.3,1,42.0,1.3,0
111.9,60.4,0,1,8,4,119.1,43.9,1,44.2,2.1,0
112.6,36.5,1,1,10,6,119.4,39.3,0,40.0,0.0,0
110.5,53.1,0,1,8,5,119.1,43.5,0,40.0,0.0,0
115.5,43.8,0,1,8,5,119.0,42.9,0,40.0,0.0,0
117.4,37.3,0,1,9,6,117.3,43.1,1,41.0,0.3,0
100.6,31.0,0,1,7,6,115.0,37.6,1,36.4,1.6,1
107.0,30.0,0,1,8,5,118.6,38.0,0,40.0,0.0,0
94.8,37.9,0,1,7,4,118.3,39.4,0,40.0,0.0,0
112.1,34.6,0,1,8,4,117.9,37.7,0,40.0,0.0,0
100.6,23.5,0,1,6,2,117.0,38.0,1,36.5,0.9,0
110.2,47.9,1,1,10,7,116.5,43.6,0,40.0,0.0,0
100.6,54.0,0,1,10,8,119.1,42.4,0,40.0,0.0,0
112.0,44.1,0,1,10,8,118.5,42.3,0,40.0,0.0,0
